Ref,Val,Package,PosX,PosY,Rot,Side
"R26","1k","R_0402_1005Metric",145.800000,-92.600000,270.000000,top
"R27","1k","R_0402_1005Metric",153.400000,-92.200000,270.000000,top
"R28","10k","R_0402_1005Metric",160.600000,-92.000000,0.000000,top
"R29","10k","R_0402_1005Metric",169.800000,-92.000000,180.000000,top
"R30","10k","R_0402_1005Metric",149.400000,-91.000000,0.000000,top
"R31","1k","R_0402_1005Metric",162.200000,-92.600000,90.000000,top
"R32","1k","R_0402_1005Metric",168.200000,-92.600000,270.000000,top
"R33","1k","R_0402_1005Metric",142.400000,-92.200000,270.000000,top
"R34","10k","R_0402_1005Metric",171.800000,-92.000000,0.000000,top
"R35","10k","R_0402_1005Metric",181.000000,-92.000000,180.000000,top
"R36","10k","R_0402_1005Metric",138.200000,-91.000000,0.000000,top
"R37","1k","R_0402_1005Metric",173.400000,-92.600000,90.000000,top
"R38","1k","R_0402_1005Metric",179.400000,-92.600000,270.000000,top
"R39","1k","R_0402_1005Metric",177.900000,-118.500000,270.000000,top
"R40","1k","R_0402_1005Metric",175.900000,-118.500000,90.000000,top
"R41","1k","R_0402_1005Metric",169.900000,-118.500000,270.000000,top
"R42","1k","R_0402_1005Metric",167.900000,-118.500000,90.000000,top
"R43","100","R_0402_1005Metric",204.000000,-120.100000,180.000000,top
"R44","1k","R_0402_1005Metric",204.000000,-118.900000,180.000000,top
"R45","10k","R_0402_1005Metric",185.600000,-95.700000,0.000000,top
"R46","10k","R_0402_1005Metric",185.600000,-94.600000,0.000000,top
"R47","10k","R_0402_1005Metric",185.600000,-99.000000,0.000000,top
"R48","1k","R_0402_1005Metric",133.000000,-88.600000,0.000000,top
"R49","10k","R_0402_1005Metric",185.600000,-96.800000,0.000000,top
"R50","10k","R_0402_1005Metric",131.000000,-87.500000,0.000000,top
"R51","10k","R_0402_1005Metric",185.600000,-100.200000,0.000000,top
"R52","33","R_0402_1005Metric",145.700000,-110.700000,0.000000,top
"R53","10k","R_0402_1005Metric",136.700000,-112.000000,90.000000,top
"R54","33","R_0402_1005Metric",145.700000,-111.800000,0.000000,top
"R55","1k","R_0402_1005Metric",126.000000,-88.600000,0.000000,top
"R56","10k","R_0402_1005Metric",185.600000,-120.700000,180.000000,top
"R57","10k","R_0402_1005Metric",124.000000,-87.500000,0.000000,top
"R58","10k","R_0402_1005Metric",182.200000,-114.200000,0.000000,top
"R59","10k","R_0402_1005Metric",185.700000,-128.800000,0.000000,top
"R60","1.5k","R_0402_1005Metric",131.900000,-120.300000,180.000000,top
"R61","10k","R_0402_1005Metric",136.500000,-128.600000,180.000000,top
"R62","10k","R_0402_1005Metric",136.500000,-126.600000,0.000000,top
"R63","330","R_0402_1005Metric",131.900000,-119.100000,180.000000,top
"R64","10k","R_0402_1005Metric",140.300000,-103.600000,270.000000,top
"R65","10k","R_0402_1005Metric",162.900000,-117.700000,135.000000,top
"R66","10k","R_0402_1005Metric",136.500000,-127.600000,0.000000,top
"R67","10k","R_0402_1005Metric",138.100000,-103.600000,270.000000,top
"R68","1.5k","R_0402_1005Metric",136.500000,-125.600000,0.000000,top
"R69","1.5k","R_0402_1005Metric",136.500000,-124.600000,0.000000,top
"R70","10k","R_0402_1005Metric",179.300000,-109.600000,180.000000,top
"R71","10k","R_0402_1005Metric",166.200000,-113.700000,90.000000,top
"R73","100k","R_0402_1005Metric",119.200000,-125.700000,270.000000,top
"R79","10k","R_0402_1005Metric",122.400000,-125.700000,90.000000,top
"R80","1.5k","R_0402_1005Metric",114.100000,-120.400000,90.000000,top
"R81","1.5k","R_0402_1005Metric",111.500000,-121.900000,180.000000,top
"R82","100k","R_0402_1005Metric",113.600000,-118.900000,0.000000,top
"R83","100k","R_0402_1005Metric",111.000000,-120.400000,270.000000,top
"R84","100k","R_0402_1005Metric",120.000000,-116.250000,180.000000,top
"R85","10k","R_0402_1005Metric",123.950000,-114.350000,180.000000,top
"R86","0","R_0805_2012Metric",194.400000,-113.200000,180.000000,top
"R87","0","R_0805_2012Metric",194.400000,-115.200000,180.000000,top
"R88","10k","R_0402_1005Metric",184.100000,-103.300000,90.000000,top
"R89","10k","R_0402_1005Metric",160.100000,-108.300000,45.000000,top
"R90","10k","R_0402_1005Metric",186.700000,-113.510000,90.000000,top
"R91","10k","R_0402_1005Metric",159.300000,-107.500000,225.000000,top
"R92","560","R_0402_1005Metric",148.200000,-104.300000,180.000000,top
"R93","560","R_0402_1005Metric",205.300000,-99.000000,180.000000,top
"R94","560","R_0402_1005Metric",205.300000,-101.000000,180.000000,top
"R95","560","R_0402_1005Metric",205.300000,-103.000000,180.000000,top
"R96","10k","R_0402_1005Metric",154.200000,-123.600000,270.000000,top
"R97","10k","R_0402_1005Metric",155.400000,-123.600000,270.000000,top
"R98","10k","R_0402_1005Metric",182.200000,-106.400000,180.000000,top
"R99","10k","R_0402_1005Metric",139.200000,-103.600000,270.000000,top
"R100","10k","R_0402_1005Metric",188.300000,-119.600000,0.000000,top
"R101","560","R_0402_1005Metric",188.400000,-128.800000,0.000000,top
"SW13","Key_User","SW_SPST_PTS810",132.000000,-84.000000,90.000000,top
"SW15","Key_nRESET","SW_SPST_PTS810",139.300000,-113.600000,90.000000,top
"SW17","Key_nBOOT","SW_SPST_PTS810",125.000000,-84.000000,90.000000,top
"U1","74HC165","SOIC-16_3.9x9.9mm_P1.27mm",175.900000,-99.000000,270.000000,top
"U2","74HC165","SOIC-16_3.9x9.9mm_P1.27mm",154.000000,-99.000000,270.000000,top
"U3","74HC165","SOIC-16_3.9x9.9mm_P1.27mm",131.000000,-98.400000,0.000000,top
"U4","AT25SF081","SOIC-8_3.9x4.9mm_P1.27mm",139.300000,-107.400000,0.000000,top
"U5","AT24C256","SOIC-8_3.9x4.9mm_P1.27mm",140.300000,-125.700000,90.000000,top
"U7","TP4056","TP4056_SOP-8-PP",120.800000,-121.700000,180.000000,top
"U8","AMS1117-3.3","SOT-223-3_TabPin2",130.200000,-113.850000,0.000000,top
"U11","74HC595","SO-16_3.9x9.9mm_P1.27mm",188.400000,-107.100000,180.000000,top
"U13","STM32F446RETx","LQFP-64_10x10mm_P0.5mm",154.800000,-114.400000,135.000000,top
"U14","RN4871","Microchip_RN4871",194.900000,-121.000000,180.000000,top
"Y1","8MHz Crystal","Crystal_SMD_5032-2Pin_5.0x3.2mm",155.000000,-127.400000,0.000000,top
